Lexeme                     Token                         Position
new                        EL_ID                         (30,21)
BufferedReader             EL_ID                         (30,38)
(                          ORG_OPEN_PAREN                (30,40)
new                        EL_ID                         (30,41)
FileReader                 EL_ID                         (30,52)
(                          ORG_OPEN_PAREN                (30,54)
filename                   EL_ID                         (30,63)
)                          ORG_CLOSE_PAREN               (30,65)
)                          ORG_CLOSE_PAREN               (30,67)
;                          PUNCT_SEMICOL                 (30,68)
String                     EL_ID                         (31,0)
line                       EL_ID                         (31,10)
;                          PUNCT_SEMICOL                 (31,11)
if                         W_IF                          (32,2)
(                          ORG_OPEN_PAREN                (32,4)
debug                      EL_ID                         (32,10)
)                          ORG_CLOSE_PAREN               (32,11)
System                     EL_ID                         (33,6)
.                          PUNCT_DOT                     (33,8)
out                        EL_ID                         (33,12)
.                          PUNCT_DOT                     (33,14)
println                    EL_ID                         (33,22)
(                          ORG_OPEN_PAREN                (33,24)
GENERATING                 EL_ID                         (33,27)
LEXICAL                    EL_ID                         (33,30)
ANALYZER                   EL_ID                         (33,37)
FROM                       EL_ID                         (33,49)
+                          OP_PLUS                       (33,53)
filename                   EL_ID                         (33,62)
)                          ORG_CLOSE_PAREN               (33,64)
;                          PUNCT_SEMICOL                 (33,65)
while                      EL_ID                         (34,0)
(                          ORG_OPEN_PAREN                (34,6)
(                          ORG_OPEN_PAREN                (34,8)
line                       EL_ID                         (34,9)
=                          OP_ASSIGN                     (34,11)
reader                     EL_ID                         (34,18)
.                          PUNCT_DOT                     (34,20)
readLine                   EL_ID                         (34,29)
(                          ORG_OPEN_PAREN                (34,31)
)                          ORG_CLOSE_PAREN               (34,33)
)                          ORG_CLOSE_PAREN               (34,34)
=                          OP_ASSIGN                     (34,32)
null                       EL_ID                         (34,36)
)                          ORG_CLOSE_PAREN               (34,37)
{                          ORG_OPEN_CURLY                (35,0)
lineNum                    EL_ID                         (36,7)
+                          OP_PLUS                       (36,9)
+                          OP_PLUS                       (36,11)
;                          PUNCT_SEMICOL                 (36,12)
if                         W_IF                          (37,0)
(                          ORG_OPEN_PAREN                (37,3)
debug                      EL_ID                         (37,9)
)                          ORG_CLOSE_PAREN               (37,10)
System                     EL_ID                         (38,6)
.                          PUNCT_DOT                     (38,8)
out                        EL_ID                         (38,12)
.                          PUNCT_DOT                     (38,14)
println                    EL_ID                         (38,22)
(                          ORG_OPEN_PAREN                (38,24)
READING                    EL_ID                         (38,27)
LINE                       EL_ID                         (38,31)
+                          OP_PLUS                       (38,33)
line                       EL_ID                         (38,38)
)                          ORG_CLOSE_PAREN               (38,40)
;                          PUNCT_SEMICOL                 (38,41)
if                         W_IF                          (39,2)
(                          ORG_OPEN_PAREN                (39,4)
line                       EL_ID                         (39,9)
.                          PUNCT_DOT                     (39,11)
length                     EL_ID                         (39,18)
(                          ORG_OPEN_PAREN                (39,20)
)                          ORG_CLOSE_PAREN               (39,21)
==                         OP_EQUAL                      (39,16)
0                          EL_INTEGER                    (39,19)
)                          ORG_CLOSE_PAREN               (39,20)
continue                   EL_ID                         (40,8)
;                          PUNCT_SEMICOL                 (40,9)
if                         W_IF                          (41,2)
(                          ORG_OPEN_PAREN                (41,4)
setMode                    EL_ID                         (41,14)
(                          ORG_OPEN_PAREN                (41,16)
line                       EL_ID                         (41,21)
)                          ORG_CLOSE_PAREN               (41,23)
)                          ORG_CLOSE_PAREN               (41,24)
{                          ORG_OPEN_CURLY                (41,18)
if                         W_IF                          (43,0)
(                          ORG_OPEN_PAREN                (43,3)
mode                       EL_ID                         (43,4)
==                         OP_EQUAL                      (43,7)
MODES                      EL_ID                         (43,14)
.                          PUNCT_DOT                     (43,16)
SINGLE                     EL_ID                         (43,23)
)                          ORG_CLOSE_PAREN               (43,24)
{                          ORG_OPEN_CURLY                (43,22)
addSingle                  EL_ID                         (44,9)
(                          ORG_OPEN_PAREN                (44,11)
line                       EL_ID                         (44,16)
,                          PUNCT_COMMA                   (44,18)
lineNum                    EL_ID                         (44,26)
)                          ORG_CLOSE_PAREN               (44,28)
;                          PUNCT_SEMICOL                 (44,29)
}                          ORG_CLOSE_CURLY               (45,0)
else                       W_ELSE                        (45,1)
if                         W_IF                          (45,5)
(                          ORG_OPEN_PAREN                (45,8)
mode                       EL_ID                         (45,9)
